product_name,price,supplier_name,supplier_city,supplier_state,category,source_url,price_clean
Automatic Aluminium Cap Sealer,Automatic Aluminium Cap Sealer at ₹ 20000 in Secunderabad | ID: 10790170030,,Hyderabad,Telangana,Industrial Packaging Machines,https://www.indiamart.com/proddetail/aluminium-cap-sealer-10790170030.html?pos=9&amp;kwd=automatic sealing machine&amp;tags=rk:B||dt:6|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:20000|ri:T_B_50_NP|em:1-|-res:RC3|ktp:N0|mtp:S|wc:1|lcf:1|cq:hyderabad|qr_nm:gl-gd|cs:19533|com-cf:nl|ptrs:na|mc:4982|cat:454|qry_typ:P|lang:en|tyr:1|qrd:260120|mrd:260121|prdt:260121|msf:hs|pfen:1|gli:U0G0I0|gc:Hyderabad|ic:Hyderabad|scw:1|emt:10|v=4|r=4,20000.0
"Powder Pouch Packaging Machine, Automation Grade: Automatic","Powder Pouch Packaging Machine, Automation Grade: Automatic at ₹ 375000 in Hyderabad",,Hyderabad,Telangana,Industrial Packaging Machines,https://www.indiamart.com/proddetail/powder-pouch-packaging-machine-8742647633.html,375000.0
"Bed Sealer Machine, For Pouch Sealing",,,Hyderabad,Telangana,Industrial Packaging Machines,https://www.indiamart.com/proddetail/bed-sealer-machine-10851120097.html,
1500 Pouch/Hour Automatic Camphor Packing Machine (Upto 100g),1500 Pouch/Hour Automatic Camphor Packing Machine (Upto 100g) at ₹ 135000 in Hyderabad,,Hyderabad,Telangana,Industrial Packaging Machines,https://www.indiamart.com/proddetail/1500-pouch-hour-automatic-camphor-pouch-packing-machine-2856430799488.html?pos=1.1\u0026kwd=automatic sealing machine\u0026tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:135000|ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|mtp:S|wc:1|lcf:1|cq:hyderabad|qr_nm:gl-gd|cs:19533|com-cf:nl|ptrs:na|mc:4982|cat:454|qry_typ:P|lang:en|tyr:1|qrd:260120|mrd:260121|prdt:260121|msf:hs|pfen:1|gli:U0G0I0|gc:Hyderabad|ic:Hyderabad|scw:1|emt:10,135000.0
"Automatic Namkeen Packing Machine, 2000-3000 pouch per hour","Automatic Namkeen Packing Machine, 2000-3000 pouch per hour at ₹ 900000 in Hyderabad",,Hyderabad,Telangana,Industrial Packaging Machines,https://www.indiamart.com/proddetail/automatic-namkeen-packing-machine-23048706730.html?pos=2.3\u0026kwd=automatic sealing machine\u0026tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:900000|ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|mtp:S|wc:1|lcf:1|cq:hyderabad|qr_nm:gl-gd|cs:19533|com-cf:nl|ptrs:na|mc:4982|cat:454|qry_typ:P|lang:en|tyr:1|qrd:260120|mrd:260121|prdt:260121|msf:hs|pfen:1|gli:U0G0I0|gc:Hyderabad|ic:Hyderabad|scw:1|emt:10,900000.0
Imported Small Pouch Packing Machines,Imported Small Pouch Packing Machines at ₹ 135000 | Hyderabad | ID: 2853137496630,,Hyderabad,Telangana,Industrial Packaging Machines,https://www.indiamart.com/proddetail/imported-small-pouch-packing-machines-2853137496630.html?pos=6.2\u0026kwd=automatic sealing machine\u0026tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:135000|ri:T_B_0_P|em:1-|-res:RC3|ktp:N0|mtp:S|wc:1|lcf:1|cq:hyderabad|qr_nm:gl-gd|cs:19533|com-cf:nl|ptrs:na|mc:4982|cat:454|qry_typ:P|lang:en|tyr:1|qrd:260120|mrd:260121|prdt:260121|msf:hs|pfen:1|gli:U0G0I0|gc:Hyderabad|ic:Hyderabad|scw:1|emt:10,135000.0
"Automatic Ginger Garlic Paste Pouch Packing Machine, 1-2 HP","Automatic Ginger Garlic Paste Pouch Packing Machine, 1-2 HP at ₹ 175000 in Hyderabad",,Hyderabad,Telangana,Industrial Packaging Machines,https://www.indiamart.com/proddetail/automatic-ginger-garlic-paste-pouch-packing-machine-22022948091.html?pos=6&amp;kwd=automatic sealing machine&amp;tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:175000|ri:T_B_0_P|em:1-|-res:RC3|ktp:N0|mtp:S|wc:1|lcf:1|cq:hyderabad|qr_nm:gl-gd|cs:19533|com-cf:nl|ptrs:na|mc:4982|cat:454|qry_typ:P|lang:en|tyr:1|qrd:260120|mrd:260121|prdt:260121|msf:hs|pfen:1|gli:U0G0I0|gc:Hyderabad|ic:Hyderabad|scw:1|emt:10|v=4|r=4,175000.0
Handheld Induction Sealing Machine for Mobile,Handheld Induction Sealing Machine for Mobile at ₹ 32000 in Hyderabad | ID: 19912998833,,Hyderabad,Telangana,Industrial Packaging Machines,https://www.indiamart.com/proddetail/mobile-sealing-machine-19912998833.html,32000.0
Automatic Sealing Machine,Automatic Sealing Machine at ₹ 380000 | Automatic Sealing Machine in Hyderabad | ID: 2856938672448,,Hyderabad,Telangana,Industrial Packaging Machines,https://www.indiamart.com/proddetail/automatic-sealing-machine-2856938672448.html?pos=1\u0026kwd=automatic sealing machine\u0026tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:380000|ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|mtp:S|wc:1|lcf:1|cq:hyderabad|qr_nm:gl-gd|cs:19533|com-cf:nl|ptrs:na|mc:4982|cat:454|qry_typ:P|lang:en|tyr:1|qrd:260120|mrd:260121|prdt:260121|msf:hs|pfen:1|gli:U0G0I0|gc:Hyderabad|ic:Hyderabad|scw:1|emt:10,380000.0
Namkeen Chips Kurkure Packing Machines (2500 Pouch/Hour),Namkeen Chips Kurkure Packing Machines (2500 Pouch/Hour) at ₹ 375000 in Hyderabad,,Hyderabad,Telangana,Industrial Packaging Machines,https://www.indiamart.com/proddetail/snacks-namkeen-chips-kurkure-packing-machines-2854953637355.html,375000.0
